   Date        Time     Command
2020-03-09    5:25:14    blink 
2020-03-09    5:25:17    fist 
2020-03-09    5:25:18    fist 
2020-03-09    5:25:18    fist 
2020-03-09    5:25:23    pattern: [blink, fist] not recognised. 
2020-03-09    5:31:40    palm 
2020-03-09    5:31:45    pattern: [palm] not recognised. 
2020-03-09    5:42:07    palm 
2020-03-09    5:42:07    palm 
2020-03-09    5:42:09    palm 
2020-03-09    5:42:09    palm 
2020-03-09    5:48:45    blink 
2020-03-09    5:57:18    palm 
2020-03-09    6:02:38    palm 
2020-03-09    6:02:43    pattern: [palm] not recognised. 
2020-03-09    6:02:55    palm 
2020-03-09    6:02:56    palm 
2020-03-09    6:02:56    palm 
2020-03-09    6:03:01    palm 
2020-03-09    6:03:06    pattern: [palm, palm] not recognised. 
2020-03-09    6:03:07    blink 
2020-03-09    6:03:09    palm 
2020-03-09    6:03:14    pattern: [blink, palm] not recognised. 
2020-03-09    6:03:14    fist 
2020-03-09    6:03:14    fist 
2020-03-09    6:03:15    fist 
2020-03-09    6:03:15    fist 
2020-03-09    6:03:16    palm 
2020-03-09    6:03:18    palm 
2020-03-09    6:03:19    palm 
2020-03-09    6:03:19    fist 
2020-03-09    6:03:19    fist 
2020-03-09    6:03:21    fist 
2020-03-09    6:03:21    palm 
2020-03-09    6:03:21    fist 
2020-03-09    6:03:22    palm 
2020-03-09    6:03:22    palm 
2020-03-09    6:03:22    palm 
2020-03-09    6:03:27    palm 
2020-03-09    6:03:29    palm 
2020-03-09    6:03:34    pattern: [fist, palm, palm, fist, palm, fist, palm] not recognised. 
2020-03-09    6:04:54    palm 
2020-03-09    6:04:55    palm 
2020-03-09    6:04:55    palm 
2020-03-09    6:04:55    palm 
2020-03-09    6:04:56    palm 
2020-03-09    6:04:56    palm 
2020-03-09    6:04:56    palm 
2020-03-09    6:04:56    palm 
2020-03-09    6:05:02    pattern: [palm, palm] not recognised. 
2020-03-09    6:05:07    blink 
2020-03-09    6:05:07    blink 
2020-03-09    6:05:07    blink 
2020-03-09    6:05:10    blink 
2020-03-09    6:05:15    pattern: [blink, blink] not recognised. 
2020-03-09    6:05:43    blink 
2020-03-09    6:05:45    blink 
2020-03-09    6:05:46    palm 
2020-03-09    6:05:51    pattern: [blink, blink, palm] not recognised. 
2020-03-09    6:06:42    palm 
2020-03-09    6:06:46    palm 
2020-03-09    6:06:51    pattern: [palm, palm] not recognised. 
2020-03-09    6:08:16    palm 
2020-03-09    6:08:17    palm 
2020-03-09    6:08:22    pattern: [palm] not recognised. 
2020-03-09    6:08:34    blink 
2020-03-09    6:08:36    fist 
2020-03-09    6:08:36    fist 
2020-03-09    6:08:36    fist 
2020-03-09    6:08:36    fist 
2020-03-09    6:08:37    fist 
2020-03-09    6:08:37    fist 
2020-03-09    6:08:37    fist 
2020-03-09    6:08:42    pattern: [blink, fist] not recognised. 
2020-03-09    6:08:44    fist 
2020-03-09    6:08:49    pattern: [fist] not recognised. 
2020-03-09    6:09:01    palm 
2020-03-09    6:09:03    fist 
2020-03-09    6:09:03    fist 
2020-03-09    6:09:26    fist 
2020-03-09    6:10:17    fist 
2020-03-09    6:10:18    fist 
2020-03-09    6:10:18    fist 
2020-03-09    6:10:23    pattern: [fist] not recognised. 
2020-03-09    6:10:24    blink 
2020-03-09    6:10:24    blink 
2020-03-09    6:10:30    pattern: [blink] not recognised. 
2020-03-09    6:10:34    fist 
2020-03-09    6:10:35    fist 
2020-03-09    6:10:36    palm 
2020-03-09    6:10:39    blink 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:41    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:42    palm 
2020-03-09    6:10:43    palm 
2020-03-09    6:10:43    palm 
2020-03-09    6:10:43    palm 
2020-03-09    6:10:43    palm 
2020-03-09    6:10:43    palm 
2020-03-09    6:10:43    palm 
2020-03-09    6:10:43    fist 
2020-03-09    6:10:43    fist 
2020-03-09    6:10:44    fist 
2020-03-09    6:10:44    fist 
2020-03-09    6:10:46    fist 
2020-03-09    6:10:46    fist 
2020-03-09    6:10:46    fist 
2020-03-09    6:10:46    fist 
2020-03-09    6:10:46    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:47    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:48    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
2020-03-09    6:10:49    fist 
